region_code,region_name,province_code,province_name,province_kind,locality_code,locality_name,locality_kind
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102801000,Adams,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102802000,Bacarra,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102803000,Badoc,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102804000,Bangui,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102805000,City of Batac,city
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102806000,Burgos,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102807000,Carasi,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102808000,Currimao,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102809000,Dingras,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102810000,Dumalneg,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102811000,Banna,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102812000,City of Laoag,city
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102813000,Marcos,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102814000,Nueva Era,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102815000,Pagudpud,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102816000,Paoay,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102817000,Pasuquin,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102818000,Piddig,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102819000,Pinili,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102820000,San Nicolas,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102821000,Sarrat,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102822000,Solsona,municipality
0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,province,0102823000,Vintar,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102901000,Alilem,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102902000,Banayoyo,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102903000,Bantay,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102904000,Burgos,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102905000,Cabugao,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102906000,City of Candon,city
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102907000,Caoayan,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102908000,Cervantes,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102909000,Galimuyod,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102910000,Gregorio del Pilar,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102911000,Lidlidda,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102912000,Magsingal,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102913000,Nagbukel,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102914000,Narvacan,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102915000,Quirino,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102916000,Salcedo,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102917000,San Emilio,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102918000,San Esteban,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102919000,San Ildefonso,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102920000,San Juan,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102921000,San Vicente,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102922000,Santa,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102923000,Santa Catalina,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102924000,Santa Cruz,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102925000,Santa Lucia,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102926000,Santa Maria,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102927000,Santiago,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102928000,Santo Domingo,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102929000,Sigay,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102930000,Sinait,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102931000,Sugpon,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102932000,Suyo,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102933000,Tagudin,municipality
0100000000,Region I (Ilocos Region),0102900000,Ilocos Sur,province,0102934000,City of Vigan,city
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103301000,Agoo,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103302000,Aringay,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103303000,Bacnotan,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103304000,Bagulin,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103305000,Balaoan,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103306000,Bangar,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103307000,Bauang,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103308000,Burgos,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103309000,Caba,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103310000,Luna,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103311000,Naguilian,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103312000,Pugo,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103313000,Rosario,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103314000,City of San Fernando,city
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103315000,San Gabriel,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103316000,San Juan,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103317000,Santo Tomas,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103318000,Santol,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103319000,Sudipen,municipality
0100000000,Region I (Ilocos Region),0103300000,La Union,province,0103320000,Tubao,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105501000,Agno,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105502000,Aguilar,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105503000,City of Alaminos,city
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105504000,Alcala,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105505000,Anda,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105506000,Asingan,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105507000,Balungao,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105508000,Bani,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105509000,Basista,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105510000,Bautista,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105511000,Bayambang,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105512000,Binalonan,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105513000,Binmaley,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105514000,Bolinao,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105515000,Bugallon,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105516000,Burgos,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105517000,Calasiao,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105518000,City of Dagupan,city
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105519000,Dasol,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105520000,Infanta,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105521000,Labrador,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105522000,Lingayen,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105523000,Mabini,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105524000,Malasiqui,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105525000,Manaoag,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105526000,Mangaldan,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105527000,Mangatarem,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105528000,Mapandan,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105529000,Natividad,municipality
0100000000,Region I (Ilocos Region),0105500000,Pangasinan,province,0105530000,Pozorrubio,municipality
